,Unnamed: 0,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,full-name
103,103,67,59132694,2014,1,CANCELADO,2014,2,1.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
104,104,68,85980000,2014,1,CANCELADO,2015,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
105,105,69,53240210,2014,1,ATIVO,2014,2,0.2,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
106,106,69,53240210,2014,1,ATIVO,2016,1,1.6,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
107,107,70,59022500,2014,1,ATIVO,2014,1,9.2,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
108,108,71,59062530,2014,1,ATIVO,2014,1,4.7,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
109,109,71,59062530,2014,1,ATIVO,2014,2,7.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
110,110,72,59054220,2014,1,ATIVO,2014,2,7.8,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
111,111,73,0,2014,1,ATIVO,2014,1,6.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
112,112,74,6321200,2014,1,ATIVO,2014,2,7.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
113,113,75,59062570,2014,1,TRANCADO,2014,2,3.1,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
114,114,75,59062570,2014,1,TRANCADO,2015,1,6.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
115,115,76,59075100,2014,1,TRANCADO,2014,2,7.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
116,116,77,0,2014,1,ATIVO,2014,1,6.3,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
