,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,enem-matematica,enem-nota,enem-redacao,enen-nota
143,96,59122510,2014,1,CANCELADO,2014,2,0,0,Reprovado,2162,0,560,650
144,97,0,2014,1,CANCELADO,2014,1,1.5,0,Reprovado,0,0,0,
145,98,59124000,2014,1,ATIVO,2014,2,8.4,0,Aprovado,2135,0,600,641
146,99,59190000,2014,1,CANCELADO,2014,2,7.3,0,Aprovado,2069,0,640,627
147,100,59110610,2014,1,TRANCADO,2014,2,2,0,Reprovado,2174,0,640,645
148,100,59110610,2014,1,TRANCADO,2015,1,6.1,0,Aprovado,2174,0,640,645
149,101,58401718,2014,1,ATIVO,2014,2,0.4,0,Reprovado,612,0,500,556
150,101,58401718,2014,1,ATIVO,2015,1,0.4,0,Reprovado,612,0,500,556
151,101,58401718,2014,1,ATIVO,2015,2,0,0,Reprovado,612,0,500,556
152,101,58401718,2014,1,ATIVO,2016,2,1.9,0,Reprovado,612,0,500,556
153,102,59215000,2014,1,ATIVO,2014,2,6.6,0,Aprovado,2026,0,640,651
154,103,59152600,2014,1,ATIVO,2014,2,7.1,0,Aprovado,1927,0,760,644
155,104,59064902,2014,1,CANCELADO,2016,1,0,0,Reprovado,2131,0,720,657
156,105,59470000,2014,1,CANCELADO,2014,2,1.4,0,Reprovado,1835,0,820,613
157,106,0,2014,1,CANCELADO,2014,2,5.7,0,Aprovado,0,0,0,
158,107,59012570,2014,1,TRANCADO,2014,2,0.8,0,Reprovado,2152,0,680,641
159,107,59012570,2014,1,TRANCADO,2015,1,2,0,Reprovado,2152,0,680,641
160,107,59012570,2014,1,TRANCADO,2015,2,8.7,0,Aprovado,2152,0,680,641
161,108,59020030,2014,1,ATIVO,2014,2,0.2,0,Reprovado,2265,0,640,653
162,108,59020030,2014,1,ATIVO,2015,1,7.4,0,Aprovado,2265,0,640,653
163,109,59114660,2014,1,CANCELADO,2014,2,0.3,0,Reprovado,2120,0,520,619
164,109,59114660,2014,1,CANCELADO,2015,1,0.1,0,Reprovado,2120,0,520,619
165,109,59114660,2014,1,CANCELADO,2015,2,0.4,0,Reprovado,2120,0,520,619
166,110,59075190,2014,1,ATIVO,2014,2,7.2,0,Aprovado,2304,0,620,692
167,110,59075190,2014,1,ATIVO,2015,1,7.4,0,Aprovado,2304,0,620,692
168,111,59056180,2014,1,ATIVO,2014,2,5.2,0,Aprovado,2240,0,840,688
169,112,59152070,2014,1,ATIVO,2014,2,3.7,0,Reprovado,2276,0,540,654
170,112,59152070,2014,1,ATIVO,2015,1,6.5,0,Aprovado,2276,0,540,654
171,113,59090430,2014,1,CANCELADO,2016,1,0,0,Reprovado,2071,0,840,655
172,114,59075810,2014,1,CANCELADO,2014,2,6.9,0,Aprovado,2099,0,800,692
173,115,59400000,2014,1,ATIVO,2015,1,3.5,0,Reprovado,2064,0,820,642
174,115,59400000,2014,1,ATIVO,2015,2,9,0,Aprovado,2064,0,820,642
175,116,0,2014,2,ATIVO,2015,1,9,0,Aprovado,0,0,0,
176,117,59149390,2014,1,ATIVO,2014,2,7.6,0,Aprovado,2329,0,580,662
177,118,59075710,2014,1,CANCELADO,2014,2,0,0,Reprovado,2126,0,740,678
178,118,59075710,2014,1,CANCELADO,2015,1,0.5,0,Reprovado,2126,0,740,678
179,119,59075010,2014,1,CANCELADO,2014,2,0.4,0,Reprovado,1688,0,800,612
180,119,59075010,2014,1,CANCELADO,2015,1,2,0,Reprovado,1688,0,800,612
181,119,59075010,2014,1,CANCELADO,2015,2,0,0,Reprovado,1688,0,800,612
